sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
1,28,0,1,0,0,0,5,0,0.0,1.0,0.35713565,1.0,0.33133858,1,0.20830381
1,26,0,1,0,0,0,1,0,0.0,1.0,0.4918337,0.0,0.63524234,1,0.45490295
1,37,0,1,0,0,0,9,0,0.0,1.0,0.33711505,1.0,0.35425645,1,0.23235208
1,26,0,1,0,0,0,2,0,1.0,1.0,0.43142158,1.0,0.45431584,1,0.3189512
1,30,0,1,4,0,0,12,0,1.0,1.0,0.22410733,1.0,0.29533023,1,0.09039861
1,32,0,1,1,0,0,2,1,1.0,1.0,0.32911158,1.0,0.28179467,1,0.24253063
0,24,2,1,0,0,0,2,0,1.0,1.0,0.46257865,1.0,0.43758875,1,0.20857263
0,21,2,1,0,0,0,0,1,0.0,1.0,0.4764973,0.0,0.5380986,0,0.7988074
1,57,1,0,0,0,0,1,0,0.0,0.0,0.8003155,0.0,0.7739351,0,0.8500139
1,28,0,1,0,0,0,0,1,1.0,0.0,0.6357082,0.0,0.6705889,0,0.8557533
0,20,2,1,0,0,1,0,1,1.0,1.0,0.24132109,1.0,0.49380976,0,0.75408316
1,31,0,0,0,0,0,8,1,0.0,1.0,0.33886147,1.0,0.3422613,1,0.21853024
1,26,0,0,0,0,0,0,1,0.0,0.0,0.62180054,0.0,0.6381235,0,0.8489956
1,47,1,1,0,0,0,5,0,0.0,0.0,0.5914737,0.0,0.616801,0,0.57567203
1,44,0,0,0,0,0,4,1,0.0,0.0,0.5760199,0.0,0.6131122,0,0.5799358
1,29,0,0,0,0,0,0,1,0.0,0.0,0.68677235,0.0,0.68415225,0,0.85838825
1,27,0,1,0,0,0,4,0,1.0,1.0,0.3714847,1.0,0.34318,1,0.2181306
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6357082,0.0,0.6705889,0,0.8557533
1,23,2,1,0,0,0,2,0,1.0,1.0,0.35479283,1.0,0.29863292,1,0.13487332
1,35,0,1,0,0,0,6,0,1.0,1.0,0.408714,1.0,0.39620584,1,0.29993096
1,30,0,0,0,0,0,0,1,0.0,0.0,0.7038007,0.0,0.6981499,0,0.86103415
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6357082,0.0,0.6705889,0,0.8557533
1,28,0,1,0,0,0,1,1,1.0,0.0,0.5310265,0.0,0.6740126,0,0.54322624
0,27,0,0,0,0,0,2,0,0.0,1.0,0.49578553,0.0,0.5258517,1,0.46371254
1,32,0,1,0,0,0,8,0,1.0,1.0,0.3257352,1.0,0.31932616,1,0.20311925
0,24,2,1,0,0,0,0,0,1.0,0.0,0.6548631,0.0,0.60305274,0,0.824601
1,28,0,0,0,0,0,8,0,1.0,1.0,0.2827577,1.0,0.22644728,1,0.16809854
0,39,0,1,0,0,0,3,0,1.0,0.0,0.58007383,0.0,0.6049176,0,0.60945386
1,22,2,0,0,0,1,1,0,0.0,0.0,0.57736397,1.0,0.37755793,1,0.11891317
1,39,0,0,0,0,0,1,0,0.0,0.0,0.66748965,0.0,0.65706074,0,0.6888088
1,29,0,1,0,0,0,0,0,0.0,0.0,0.7069411,0.0,0.6620996,0,0.85444087
