sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
1,28,0,1,0,0,0,5,0,0.0,1.0,0.3571328,1.0,0.4050448,0,0.50711584
1,26,0,1,0,0,0,1,0,0.0,1.0,0.49181837,0.0,0.52174073,0,0.5238445
1,37,0,1,0,0,0,9,0,0.0,1.0,0.33710945,1.0,0.39425862,0,0.50198716
1,26,0,1,0,0,0,2,0,1.0,1.0,0.43141156,1.0,0.4695083,0,0.5164655
1,30,0,1,4,0,0,12,0,1.0,1.0,0.22411573,1.0,0.2637717,1,0.45724162
1,32,0,1,1,0,0,2,1,1.0,1.0,0.3291242,1.0,0.3296641,1,0.45325795
0,24,2,1,0,0,0,2,0,1.0,1.0,0.46258336,1.0,0.42385018,0,0.50125307
0,21,2,1,0,0,0,0,1,0.0,1.0,0.47650748,1.0,0.49118567,0,0.5419179
1,57,1,0,0,0,0,1,0,0.0,0.0,0.8003106,0.0,0.7358521,0,0.52989626
1,28,0,1,0,0,0,0,1,1.0,0.0,0.63570416,0.0,0.7084217,0,0.5497007
0,20,2,1,0,0,1,0,1,1.0,1.0,0.24134892,1.0,0.4519354,0,0.5336892
1,31,0,0,0,0,0,8,1,0.0,1.0,0.33885413,1.0,0.38829935,0,0.5014281
1,26,0,0,0,0,0,0,1,0.0,0.0,0.6218147,0.0,0.6869588,0,0.54906297
1,47,1,1,0,0,0,5,0,0.0,0.0,0.5914644,0.0,0.54175806,0,0.51049316
1,44,0,0,0,0,0,4,1,0.0,0.0,0.5760081,0.0,0.55933285,0,0.5163531
1,29,0,0,0,0,0,0,1,0.0,0.0,0.6867868,0.0,0.7170267,0,0.54995704
1,27,0,1,0,0,0,4,0,1.0,1.0,0.37148052,1.0,0.41802543,0,0.5093161
1,28,0,1,0,0,0,0,1,0.0,0.0,0.63570416,0.0,0.7084217,0,0.5497007
1,23,2,1,0,0,0,2,0,1.0,1.0,0.3547997,1.0,0.37304038,1,0.4923948
1,35,0,1,0,0,0,6,0,1.0,1.0,0.40870762,1.0,0.44074613,0,0.507417
1,30,0,0,0,0,0,0,1,0.0,0.0,0.7038147,0.0,0.72578955,0,0.5502194
1,28,0,1,0,0,0,0,1,0.0,0.0,0.63570416,0.0,0.7084217,0,0.5497007
1,28,0,1,0,0,0,1,1,1.0,0.0,0.5310241,0.0,0.56334674,0,0.521474
0,27,0,0,0,0,0,2,0,0.0,1.0,0.4957698,0.0,0.5181893,0,0.52055573
1,32,0,1,0,0,0,8,0,1.0,1.0,0.3257318,1.0,0.3813296,0,0.5021295
0,24,2,1,0,0,0,0,0,1.0,0.0,0.65487033,0.0,0.63000435,0,0.5542679
1,28,0,0,0,0,0,8,0,1.0,1.0,0.28276134,1.0,0.34639096,0,0.5002897
0,39,0,1,0,0,0,3,0,1.0,0.0,0.5800781,0.0,0.57564294,0,0.5204464
1,22,2,0,0,0,1,1,0,0.0,0.0,0.57734567,1.0,0.35180336,1,0.48847646
1,39,0,0,0,0,0,1,0,0.0,0.0,0.66748446,0.0,0.63055116,0,0.5275264
1,29,0,1,0,0,0,0,0,0.0,0.0,0.7069403,0.0,0.70513046,0,0.55760306
0,45,1,0,0,0,0,0,1,0.0,0.0,0.8647452,0.0,0.81154835,0,0.55338705
0,26,0,1,0,0,0,1,1,0.0,0.0,0.5568564,0.0,0.5737381,0,0.52482575
0,45,1,0,0,0,0,1,1,0.0,0.0,0.7594361,0.0,0.72554004,0,0.5284874
1,52,1,0,0,0,0,1,0,0.0,0.0,0.763218,0.0,0.7055234,0,0.5284754
1,51,1,1,0,0,0,1,0,0.0,0.0,0.7238455,0.0,0.69952226,0,0.52820516
0,29,0,0,0,0,0,1,0,1.0,0.0,0.58223176,0.0,0.59123886,0,0.52703303
1,31,0,1,0,0,0,13,1,1.0,1.0,0.2958272,1.0,0.31113225,1,0.49141344
1,47,1,0,0,0,0,0,1,0.0,0.0,0.83537114,0.0,0.8000611,0,0.55261874
1,21,2,0,0,0,0,0,0,0.0,0.0,0.5536543,0.0,0.5229159,0,0.55177623
1,43,0,1,0,0,0,7,0,0.0,1.0,0.43042946,1.0,0.46277654,0,0.5072761
1,21,2,0,0,0,0,1,0,0.0,1.0,0.33275813,1.0,0.3575192,1,0.49970183
1,20,2,1,1,0,0,1,0,1.0,1.0,0.13798428,1.0,0.13293463,1,0.46732396
0,42,0,0,0,0,0,3,0,0.0,0.0,0.58104163,0.0,0.58904266,0,0.52119774
0,42,0,1,0,0,0,2,1,0.0,0.0,0.7665796,0.0,0.6536766,0,0.5241376
0,32,0,1,0,0,0,0,0,0.0,0.0,0.7359991,0.0,0.74929476,0,0.55962896
1,36,0,0,0,0,0,9,1,1.0,1.0,0.37395895,1.0,0.40530986,0,0.5011317
1,63,1,1,0,0,0,1,0,0.0,0.0,0.7758874,0.0,0.7668965,0,0.5312317
0,28,0,1,0,0,0,3,0,1.0,1.0,0.4647448,1.0,0.49272424,0,0.5163954
1,55,1,0,0,0,0,0,0,0.0,0.0,0.90522885,0.0,0.8341018,0,0.5608498
1,24,2,0,0,0,2,1,0,0.0,0.0,0.67178655,1.0,0.3851217,1,0.49036014
1,62,1,1,0,0,0,15,0,0.0,1.0,0.46924525,1.0,0.4614606,1,0.49754587
1,30,0,1,0,0,0,0,0,0.0,0.0,0.72004026,0.0,0.7145525,0,0.5578636
0,61,1,1,0,0,0,1,0,1.0,0.0,0.7693185,0.0,0.7843995,0,0.53196204
0,32,0,1,0,0,0,1,0,0.0,0.0,0.6221763,0.0,0.6186214,0,0.5277059
1,34,0,1,0,0,0,8,1,0.0,1.0,0.4383692,1.0,0.41176832,0,0.5027838
1,23,2,1,0,0,0,1,1,1.0,1.0,0.37680197,1.0,0.40993994,0,0.5040773
